Номер позиции,ЮЛ,Локация,Подразделение,Отдел,Группа,Должность,ФИО,Тип работы
БСЗ131,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Бельгия""","Группа ""Москва""",Главный специалист-архитектор,Вакансия,Бизнес
БСЗ132,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Великобритания""","Группа ""Стамбул""",Специалист,Вакансия,Сервис
БСЗ133,БСЗ,Брусника.Проектирование,"Подразделение ""Арес""","Отдел ""Великобритания""",,Специалист,Сотрудник Брусники 1,Бизнес
БСЗ134,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Главный специалист-инженер,Сотрудник Брусники 2,Бизнес
БСЗ135,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Ведущий инженер,Вакансия,Бизнес
БСЗ136,БСЗ,Брусника.Проектирование,"Подразделение ""Артемида""",,"Группа ""Лондон""",Ведущий конструктор,Вакансия,Бизнес
БСЗ137,БСЗ,Брусника.Проектирование,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 3,Бизнес
БСЗ138,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Главный ассистент,Сотрудник Брусники 4,Бизнес
БСЗ139,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Главный бизнес-ассистент,Сотрудник Брусники 5,Бизнес
БСЗ140,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 6,Сервис
БСЗ141,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 7,Бизнес
БСЗ142,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Вакансия,Бизнес
БСЗ143,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 8,Бизнес
БСЗ144,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 9,Бизнес
БСЗ145,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 10,Сервис
БСЗ146,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 11,Бизнес
БСЗ147,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 12,Бизнес
БСЗ148,БСЗ,Дирекция,"Подразделение ""Афина""",,"Группа ""Санкт-Петербург""",Специалист,Сотрудник Брусники 13,Бизнес
БСЗ149,БСЗ,Дирекция,"Подразделение ""Афина""",,,Главный бухгалтер,Сотрудник Брусники 14,Бизнес
БСЗ150,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 15,Бизнес
БСЗ151,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 16,Бизнес
БСЗ152,БСЗ,Дирекция,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 17,Бизнес
БСЗ154,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 19,Бизнес
БСЗ155,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 20,Бизнес
БСЗ156,БСЗ,Дирекция,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 21,Бизнес
БСЗ157,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Вакансия,Бизнес
БСЗ158,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Вакансия,Сервис
БСЗ159,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 22,Бизнес
БСЗ160,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Вакансия,Бизнес
БСЗ161,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 23,Бизнес
БСЗ162,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 24,Бизнес
БСЗ163,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 25,Бизнес
БСЗ164,БСЗ,Дирекция,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 26,Бизнес
БСЗ165,БСЗ,Дирекция,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 27,Бизнес
БСЗ166,БСЗ,Брусника.Тюмень,"Подразделение ""Афина""",,,Специалист,Вакансия,Бизнес
